,vendor,rank,verifcation,since,transactions,feedback_total,feedback_positive,feedback_negative,disputes_total,disputes_won,disputes_lost,finalize_early
24,BenzoKingUK,Rank 1,,"Nov 18, 2020",70,26,96.15% (25),0% (0),1,0% (0),0% (0),Not Available
25,BenzoMan,Rank 1,,"Aug 5, 2020",71,27,92.59% (25),3.70% (1),5,20% (1),60% (3),Not Available
26,BestBudz,Rank 3,,"Nov 27, 2020",226,128,94.53% (121),2.34% (3),2,50% (1),0% (0),Not Available
27,BettyBopped,Rank 0,Verification Level 4,"Jan 3, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
28,BillyWayne,Rank 0,,"Feb 10, 2021",3,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
29,BlackMass,Rank 0,Verification Level 1,"Sep 10, 2020",2,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
30,BluHunnidz44,Rank 1,,"Feb 8, 2021",56,24,100% (24),0% (0),1,0% (0),0% (0),Not Available
31,BoOmers,Rank 0,Verification Level 9,"Oct 18, 2020",2,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
32,BobShop,Rank 0,,"Jan 29, 2021",4,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
33,Borat,Rank 0,Verification Level 1,"Nov 22, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
34,BritishStandard,Rank 3,Verification Level 3,"Jan 18, 2021",392,154,96.10% (148),3.25% (5),7,0% (0),0% (0),Not Available
35,Budfather,Rank 1,Verification Level 10,"Sep 23, 2020",26,13,92.31% (12),0% (0),0,0% (0),0% (0),Available (can require)
36,BusterCappz,Rank 0,Verification Level 4,"Feb 11, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
37,BwEmpire,Rank 3,Verification Level 3,"Sep 30, 2020",236,135,81.48% (110),13.33% (18),12,8.33% (1),75% (9),Not Available
38,C00KIE88,Rank 0,,"Feb 9, 2021",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
39,COCALERO,Rank 2,Verification Level 8,"Aug 26, 2020",167,95,97.89% (93),2.11% (2),4,25% (1),0% (0),Available (only optional)
40,CVS_Pharmacy,Rank 0,Verification Level 4,"Aug 5, 2020",12,4,100% (4),0% (0),2,0% (0),0% (0),Not Available
41,CafeNero,Rank 3,Verification Level 4,"Jun 28, 2020",307,146,91.78% (134),5.48% (8),15,13.33% (2),0% (0),Available (can require)
42,CaliCannabisCo,Rank 0,Verification Level 1,"Jan 22, 2021",8,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
43,California420Service,Rank 2,Verification Level 4,"Nov 22, 2020",256,88,96.59% (85),2.27% (2),7,0% (0),14.29% (1),Not Available
44,CalzzUK,Rank 2,,"Oct 24, 2020",140,66,96.97% (64),1.52% (1),0,0% (0),0% (0),Not Available
45,Cambridge20k,Rank 1,Verification Level 8,"Feb 2, 2021",47,22,100% (22),0% (0),0,0% (0),0% (0),Not Available
46,CanadianSmoker12,Rank 8,Verification Level 1,"Oct 28, 2020",758,212,91.51% (194),5.66% (12),82,39.02% (32),6.10% (5),Not Available
47,CannaBeagle,Rank 0,,"Mar 1, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
48,CannaRush,Rank 0,Verification Level 7,"Dec 22, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
49,Cannabuds,Rank 3,Verification Level 2,"Sep 10, 2020",443,148,93.92% (139),3.38% (5),11,0% (0),45.45% (5),Not Available
50,CartPusher,Rank 0,,"Feb 23, 2021",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
51,Chemicalexpress,Rank 0,,"Dec 28, 2020",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
52,ChemistWarehouse,Rank 0,,"Feb 15, 2021",15,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
53,ChuckNorrisTeam,Rank 0,Verification Level 2,"Feb 21, 2021",5,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
54,CoastalConnect,Rank 0,,"Nov 20, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
55,CocaColaShop,Rank 0,,"Dec 29, 2020",8,6,100% (6),0% (0),1,0% (0),100% (1),Not Available
56,CocaKoala,Rank 2,,"Aug 25, 2020",175,120,100% (120),0% (0),2,0% (0),0% (0),Not Available
57,Cocadile,Rank 0,,"Oct 24, 2020",9,5,80% (4),0% (0),0,0% (0),0% (0),Not Available
58,CocaineMaster,Rank 0,,"Feb 12, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
59,CoffeeshopTM,Rank 0,Verification Level 4,"Oct 4, 2020",8,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
60,Coffeshop,TOP,Verification Level 5,"Sep 24, 2020",1590,651,90.32% (588),5.53% (36),92,7.61% (7),35.87% (33),Not Available
61,ColaMart,Rank 3,,"Aug 29, 2020",230,168,100% (168),0% (0),0,0% (0),0% (0),Available (only optional)
62,Cookiesncream,Rank 1,Verification Level 2,"Jan 13, 2021",65,31,93.55% (29),0% (0),1,0% (0),100% (1),Not Available
63,Copek,Rank 1,Verification Level 11,"Jan 12, 2021",72,45,93.33% (42),0% (0),0,0% (0),0% (0),Available (only optional)
64,CornerShop,Rank 0,,"Jan 31, 2021",9,1,100% (1),0% (0),1,0% (0),0% (0),Not Available
65,CrackShot,Rank 1,Verification Level 4,"Jan 12, 2021",65,36,97.22% (35),0% (0),1,100% (1),0% (0),Not Available
66,Cronus,Rank 0,,"Oct 11, 2020",4,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
67,DARKSHOP,Rank 0,,"Jan 3, 2021",5,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
68,DMTUK,Rank 1,Verification Level 1,"Sep 2, 2020",38,15,100% (15),0% (0),0,0% (0),0% (0),Not Available
69,DNAbiotech,Rank 1,Verification Level 3,"Jan 13, 2021",71,29,100% (29),0% (0),0,0% (0),0% (0),Not Available
70,DR420,Rank 1,,"Feb 9, 2021",19,5,100% (5),0% (0),1,0% (0),0% (0),Not Available
71,DUTCHTOPQUALITY,Rank 0,Verification Level 6,"Aug 29, 2020",23,5,80% (4),20% (1),0,0% (0),0% (0),Available (only optional)
72,DXMUSA,Rank 0,Verification Level 1,"Aug 13, 2020",3,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
73,DaShop,Rank 1,Verification Level 2,"Jan 29, 2021",19,7,85.71% (6),14.29% (1),0,0% (0),0% (0),Not Available
74,DailyPaper,Rank 0,,"Nov 29, 2020",15,5,80% (4),20% (1),2,0% (0),0% (0),Not Available
75,DarkPost,Rank 0,,"Feb 25, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
76,Daytonamarket,Rank 0,,"Dec 2, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
77,Deepufo,Rank 1,Verification Level 7,"Jan 5, 2021",43,22,90.91% (20),4.55% (1),1,100% (1),0% (0),Not Available
78,DeutscherHanfverband,Rank 3,,"Oct 7, 2020",244,166,98.19% (163),0.60% (1),4,25% (1),0% (0),Available (only optional)
79,DigitalDelight,Rank 0,,"Oct 2, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
80,Dimma,Rank 1,Verification Level 5,"Jan 23, 2021",36,15,93.33% (14),6.67% (1),0,0% (0),0% (0),Not Available
81,DiscountWeedCo,Rank 2,,"Oct 12, 2020",157,78,98.72% (77),1.28% (1),3,0% (0),66.67% (2),Not Available
82,Discover,Rank 3,Verification Level 8,"Jun 30, 2020",282,116,93.10% (108),6.03% (7),13,38.46% (5),15.38% (2),Not Available
83,DmtTimes,Rank 0,Verification Level 7,"Apr 2, 2020",11,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
84,DoctorDrug,Rank 1,Verification Level 4,"Sep 2, 2020",85,9,77.78% (7),11.11% (1),1,0% (0),0% (0),Not Available
85,DoctorXXL,Rank 5,Verification Level 2,"Nov 24, 2020",555,261,85.82% (224),10.34% (27),30,10% (3),36.67% (11),Not Available
86,DoktorSommer,Rank 8,Verification Level 5,"Oct 25, 2020",803,397,97.73% (388),0.50% (2),10,10% (1),0% (0),Available (can require)
87,DopamineDealer,Rank 1,Verification Level 3,"Oct 2, 2020",110,71,98.59% (70),0% (0),2,0% (0),0% (0),Not Available
88,Dope-Shop,Rank 0,,"Feb 26, 2021",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
89,DopeMastersNL,Rank 0,Verification Level 2,"Jan 27, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
90,DopeNL,Rank 1,Verification Level 2,"Oct 6, 2020",114,58,81.03% (47),6.90% (4),12,25% (3),25% (3),Not Available
91,DopeSeller,Rank 1,,"Dec 27, 2020",21,6,100% (6),0% (0),1,0% (0),0% (0),Not Available
92,DopeValley,Rank 1,,"Jan 26, 2021",64,22,100% (22),0% (0),1,0% (0),100% (1),Not Available
93,DrBlow,Rank 1,Verification Level 1,"Oct 3, 2020",133,51,90.20% (46),3.92% (2),13,30.77% (4),30.77% (4),Not Available
94,DrKnask,Rank 1,,"Dec 10, 2020",43,11,100% (11),0% (0),0,0% (0),0% (0),Not Available
95,DrOetkerDE,Rank 2,,"Oct 19, 2020",133,88,97.73% (86),1.14% (1),2,0% (0),0% (0),Not Available
96,DrParagon,Rank 7,Verification Level 9,"Oct 4, 2020",766,301,97.34% (293),1.66% (5),11,27.27% (3),0% (0),Available (can require)
97,DrRelax,Rank 2,Verification Level 8,"Apr 13, 2020",175,118,99.15% (117),0% (0),0,0% (0),0% (0),Not Available
98,DrugAmazon,Rank 4,,"Sep 21, 2020",452,157,80.25% (126),14.01% (22),20,5% (1),55% (11),Not Available
99,DrugHubOz,Rank 1,Verification Level 3,"Sep 27, 2020",108,75,100% (75),0% (0),0,0% (0),0% (0),Not Available
100,Drugeroo,Rank 0,,"Nov 19, 2020",8,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
101,DruggieBears,Rank 5,Verification Level 6,"Sep 12, 2020",551,207,88.89% (184),7.73% (16),44,15.91% (7),2.27% (1),Available (can require)
102,Drugshouse,Rank 0,Verification Level 2,"Nov 29, 2020",17,2,0% (0),50% (1),2,50% (1),50% (1),Not Available
103,DrugzDealerNRW,Rank 1,Verification Level 2,"Sep 19, 2020",100,33,87.88% (29),12.12% (4),5,20% (1),0% (0),Not Available
104,DrugzFromNL,Rank 4,Verification Level 3,"Aug 25, 2020",344,131,75.57% (99),15.27% (20),9,11.11% (1),33.33% (3),Not Available
105,DuhhicKy,Rank 0,,"Nov 10, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
106,DutchDrugs,Rank 3,,"Aug 25, 2020",307,114,90.35% (103),5.26% (6),8,62.50% (5),50% (4),Available (only optional)
107,DutchDrugz,Rank 1,Verification Level 11,"Jul 9, 2020",109,21,100% (21),0% (0),0,0% (0),0% (0),Available (can require)
108,DutchDuke,Rank 1,,"Jan 5, 2021",82,52,100% (52),0% (0),0,0% (0),0% (0),Not Available
109,DutchFrenchTeam,Rank 1,Verification Level 3,"Sep 14, 2020",123,62,95.16% (59),3.23% (2),4,0% (0),0% (0),Not Available
110,DutchGlory,Rank 1,,"Jan 28, 2021",37,12,83.33% (10),8.33% (1),0,0% (0),0% (0),Not Available
111,DutchPharmacy,Rank 6,,"Nov 11, 2020",676,310,90.97% (282),6.45% (20),36,22.22% (8),25% (9),Not Available
112,EMVmasterminders,Rank 0,,"Mar 2, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
113,EUROSHOPPER,Rank 1,Verification Level 6,"Oct 1, 2020",117,41,97.56% (40),0% (0),0,0% (0),0% (0),Not Available
114,Eagleboys77,Rank 0,,"Feb 26, 2021",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
115,ElizabethQueen2,Rank 0,Verification Level 2,"Feb 21, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
116,Elle,Rank 0,,"Jul 12, 2020",2,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
117,Elminilic,Rank 1,Verification Level 2,"Aug 26, 2020",47,29,100% (29),0% (0),0,0% (0),0% (0),Not Available
118,EmeraldGallipot,Rank 1,Verification Level 2,"Jan 11, 2021",27,12,100% (12),0% (0),2,0% (0),50% (1),Not Available
119,EmergencyB,Rank 0,Verification Level 9,"Mar 10, 2020",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
120,EmpireTeam,Rank 1,Verification Level 9,"Nov 9, 2020",29,18,94.44% (17),5.56% (1),1,0% (0),0% (0),Available (can require)
121,Epharma,Rank 2,Verification Level 5,"Dec 18, 2020",245,68,94.12% (64),2.94% (2),22,9.09% (2),27.27% (6),Available (only optional)
122,Everylittlehalps,Rank 2,Verification Level 3,"Nov 18, 2020",266,73,94.52% (69),1.37% (1),1,0% (0),0% (0),Not Available
123,ExoticImports,Rank 0,Verification Level 2,"Jan 4, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
124,F1restart3r,Rank 1,,"Apr 9, 2020",58,17,88.24% (15),11.76% (2),9,22.22% (2),66.67% (6),Not Available
125,FASTmedsUK,Rank 8,Verification Level 6,"Aug 27, 2020",899,455,98.24% (447),0.66% (3),8,0% (0),0% (0),Available (can require)
126,FENDI,Rank 0,Verification Level 1,"Feb 8, 2021",7,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
127,FGWL,Rank 7,,"Oct 14, 2020",897,387,87.08% (337),7.49% (29),47,8.51% (4),57.45% (27),Not Available
128,FIdiazepam10mg,Rank 0,,"Dec 29, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
129,Fairfax,Rank 1,Verification Level 10,"Aug 29, 2020",91,25,68% (17),8% (2),5,40% (2),20% (1),Not Available
130,Farmacyteam,Rank 1,,"Oct 22, 2020",42,11,63.64% (7),9.09% (1),3,33.33% (1),33.33% (1),Not Available
131,FedEx,Rank 4,Verification Level 3,"Sep 26, 2020",414,211,88.63% (187),5.69% (12),19,21.05% (4),15.79% (3),Available (only optional)
132,FerryBoumanNL,Rank 0,,"Oct 13, 2020",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
133,FlyHigh,Rank 0,Verification Level 8,"Oct 27, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
134,Fragrantuntidy,Rank 0,Verification Level 7,"Apr 20, 2020",8,0,0% (0),0% (0),1,0% (0),100% (1),Not Available
135,FrankCostello,Rank 3,Verification Level 4,"Oct 30, 2020",338,129,83.72% (108),5.43% (7),17,11.76% (2),11.76% (2),Not Available
136,FrankMatthews,Rank 1,,"Dec 21, 2020",116,43,90.70% (39),9.30% (4),13,0% (0),76.92% (10),Not Available
137,FunnyBones,Rank 0,Verification Level 3,"Feb 25, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
138,FusionDelics,Rank 1,,"Oct 5, 2020",21,7,100% (7),0% (0),0,0% (0),0% (0),Not Available
139,GQDS24,Rank 2,Verification Level 3,"Oct 31, 2020",118,86,100% (86),0% (0),4,0% (0),25% (1),Not Available
140,Generator,Rank 0,,"Nov 29, 2020",12,3,66.67% (2),0% (0),2,0% (0),100% (2),Not Available
141,GermanMasters,Rank 1,Verification Level 2,"Jan 26, 2021",62,17,100% (17),0% (0),0,0% (0),0% (0),Not Available
142,GermanPost,Rank 1,,"Jan 25, 2021",92,18,94.44% (17),0% (0),2,0% (0),0% (0),Not Available
143,GermanService,Rank 0,Verification Level 2,"Aug 2, 2020",6,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
144,Germanapotheke,Rank 1,Verification Level 7,"Sep 3, 2020",196,45,93.33% (42),0% (0),0,0% (0),0% (1),Not Available
145,GlobalShipment,Rank 0,,"Feb 24, 2021",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
146,Gmail,Rank 1,,"Jan 31, 2021",57,14,100% (14),0% (0),1,0% (0),100% (1),Not Available
147,GodOfOpium,Rank 2,Verification Level 4,"Sep 21, 2020",189,88,100% (88),0% (0),3,33.33% (1),0% (0),Available (only optional)
148,GrandWizardsLair,Rank 0,Verification Level 12,"Apr 10, 2020",11,4,100% (4),0% (0),0,0% (0),0% (0),Available (can require)
149,GreenBritain,Rank 3,Verification Level 9,"Jul 3, 2020",248,153,99.35% (152),0% (0),4,25% (1),0% (0),Not Available
150,GreenConnection,Rank 0,Verification Level 9,"Sep 16, 2020",15,3,100% (3),0% (0),0,0% (0),0% (0),Available (only optional)
151,Greenstone,Rank 0,Verification Level 5,"Sep 21, 2020",5,3,66.67% (2),0% (0),0,0% (0),0% (0),Not Available
152,GreyGooseGlobal,Rank 0,Verification Level 4,"Feb 25, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
153,GrowersOasis,Rank 1,,"Jan 3, 2021",86,37,100% (37),0% (0),1,0% (0),0% (0),Not Available
154,GulfCoastPharma,Rank 2,,"Dec 12, 2020",212,105,97.14% (102),2.86% (3),3,0% (0),0% (0),Not Available
155,HappyChef,Rank 2,Verification Level 4,"Oct 10, 2020",139,90,97.78% (88),1.11% (1),2,50% (1),0% (0),Not Available
156,HappySmokeShop,Rank 2,,"Oct 20, 2020",113,75,94.67% (71),4% (3),1,0% (0),0% (0),Not Available
157,Hasbro,Rank 1,Verification Level 1,"Jan 26, 2021",70,27,100% (27),0% (0),1,0% (0),0% (0),Not Available
158,HeinekenExpress,Rank 10,Verification Level 8,"Sep 7, 2020",1150,468,92.95% (435),6.20% (29),22,40.91% (9),0% (0),Available (can require)
159,Heroinfactoryy,Rank 1,Verification Level 4,"Jan 17, 2021",115,36,86.11% (31),8.33% (3),7,0% (0),14.29% (1),Not Available
160,High00,Rank 0,Verification Level 1,"Mar 6, 2020",7,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
161,HighInsomniac,Rank 1,Verification Level 2,"Oct 14, 2020",62,20,75% (15),5% (1),12,8.33% (1),66.67% (8),Not Available
162,HighQualityTHC,Rank 1,Verification Level 3,"Nov 23, 2020",68,45,97.78% (44),0% (0),1,0% (0),0% (0),Not Available
163,High_Fly,Rank 0,,"Feb 23, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
164,HilfigerOriginal,Rank 0,Verification Level 3,"Feb 1, 2021",7,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
165,Hofmanncrew,Rank 3,Verification Level 4,"Jan 13, 2021",345,129,86.82% (112),4.65% (6),7,28.57% (2),0% (0),Available (only optional)
166,HotShop,Rank 3,Verification Level 6,"Feb 21, 2020",308,91,90.11% (82),9.89% (9),8,12.50% (1),87.50% (7),Not Available
167,HouseofAddys,Rank 2,Verification Level 4,"Oct 14, 2020",289,54,92.59% (50),3.70% (2),12,0% (0),41.67% (5),Not Available
168,HulkGod,Rank 1,Verification Level 2,"Feb 23, 2021",49,6,100% (6),0% (0),0,0% (0),0% (0),Not Available
169,ICEGOD,Rank 0,Verification Level 7,"Nov 12, 2020",11,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
170,ICFMF,Rank 5,Verification Level 1,"Aug 26, 2020",574,326,98.77% (322),0.61% (2),9,11.11% (1),11.11% (1),Not Available
171,INSTA-GRAM,Rank 2,Verification Level 5,"Aug 18, 2020",252,97,88.66% (86),7.22% (7),10,10% (1),60% (6),Available (only optional)
172,Island_Paradise,Rank 1,Verification Level 2,"Feb 10, 2021",72,31,100% (31),0% (0),0,0% (0),0% (0),Not Available
173,JOYinc,Rank 4,Verification Level 7,"Jan 14, 2021",475,222,96.40% (214),2.25% (5),18,0% (0),5.56% (1),Not Available
174,JackOfWeed,Rank 0,Verification Level 3,"Jul 4, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
175,JamalsPlantage,Rank 1,,"Oct 15, 2020",39,10,80% (8),20% (2),6,0% (0),100% (6),Not Available
176,JanesAddiction,Rank 1,,"Jan 26, 2021",136,40,97.50% (39),0% (0),4,0% (0),0% (0),Not Available
177,Johnyxl,Rank 3,Verification Level 1,"Dec 27, 2020",333,109,75.23% (82),17.43% (19),35,8.57% (3),31.43% (11),Not Available
178,JustBusiness,Rank 1,Verification Level 3,"Dec 21, 2020",124,32,90.62% (29),6.25% (2),10,40% (4),20% (2),Not Available
179,KIND,Rank 1,Verification Level 12,"Jan 21, 2021",25,15,100% (15),0% (0),0,0% (0),0% (0),Not Available
180,KeepTheDopeAlive,Rank 3,,"Nov 4, 2020",321,181,96.69% (175),1.10% (2),10,0% (0),40% (4),Not Available
181,LSDTwin,Rank 3,Verification Level 2,"Jul 3, 2020",283,140,93.57% (131),5% (7),6,16.67% (1),0% (0),Available (can require)
182,LX2021,Rank 0,Verification Level 4,"Mar 1, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
183,LaBelleDeMai,Rank 0,Verification Level 5,"Feb 25, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
184,LaFarmacia,Rank 0,Verification Level 7,"Feb 20, 2021",9,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
185,LaMadrina,Rank 1,Verification Level 1,"Apr 21, 2020",62,39,100% (39),0% (0),0,0% (0),0% (0),Not Available
186,LeParfait,Rank 0,Verification Level 2,"Jan 22, 2021",3,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
187,Lemmonflavor,Rank 1,Verification Level 1,"Jun 29, 2020",102,49,97.96% (48),2.04% (1),1,100% (1),0% (0),Not Available
188,Lepricon,Rank 1,Verification Level 12,"Dec 3, 2020",55,9,77.78% (7),22.22% (2),5,0% (0),20% (1),Not Available
189,Licensedbud,Rank 1,,"Oct 15, 2020",27,15,93.33% (14),0% (0),0,0% (0),0% (0),Not Available
190,LittleBits,Rank 7,Verification Level 1,"Oct 14, 2020",680,365,99.45% (363),0% (0),6,16.67% (1),16.67% (1),Not Available
191,LordOfWeed,Rank 1,Verification Level 1,"Nov 27, 2020",42,13,92.31% (12),7.69% (1),3,0% (0),0% (0),Not Available
192,LouisVuitton,Rank 0,,"Jan 17, 2021",7,5,100% (5),0% (0),0,0% (0),0% (0),Not Available
193,Lucky7,Rank 1,Verification Level 4,"May 8, 2020",37,12,75% (9),8.33% (1),2,0% (0),100% (2),Not Available
194,LucySkyDiamonds,Rank 4,Verification Level 4,"Sep 16, 2020",436,203,99.51% (202),0.49% (1),3,0% (0),33.33% (1),Available (only optional)
195,Luscious,Rank 1,Verification Level 2,"Aug 30, 2020",106,79,100% (79),0% (0),1,0% (0),0% (0),Not Available
196,MEDS4UK,Rank 1,Verification Level 2,"Dec 12, 2020",51,23,100% (23),0% (0),1,0% (0),0% (0),Not Available
197,METHBUSTERS,Rank 0,Verification Level 8,"Jan 21, 2021",10,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
198,MadeInFrance,Rank 4,Verification Level 10,"Apr 12, 2020",375,172,97.67% (168),1.74% (3),9,33.33% (3),0% (0),Available (can require)
199,MagicSpore,Rank 0,,"Jan 20, 2021",8,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
200,Malavitoso,Rank 1,,"Sep 9, 2020",16,8,87.50% (7),12.50% (1),1,0% (0),0% (0),Not Available
201,MarysCannabis,Rank 1,Verification Level 6,"Apr 14, 2020",32,8,100% (8),0% (0),0,0% (0),0% (0),Not Available
202,MatthewWazowsky,Rank 3,Verification Level 5,"Aug 28, 2020",250,135,98.52% (133),0.74% (1),2,0% (0),0% (0),Available (only optional)
203,MaxundMoritz,Rank 2,,"Nov 12, 2020",181,97,97.94% (95),1.03% (1),2,0% (0),0% (0),Not Available
204,Medicalking007,Rank 1,Verification Level 1,"Sep 21, 2020",154,57,98.25% (56),1.75% (1),2,0% (0),50% (1),Not Available
205,MedicineMan420,Rank 5,,"Oct 16, 2020",461,293,100% (293),0% (0),11,0% (0),9.09% (1),Not Available
206,Medicineman1,Rank 1,Verification Level 6,"Sep 15, 2020",22,7,100% (7),0% (0),1,0% (0),100% (1),Not Available
207,MethadMan,Rank 0,Verification Level 5,"Sep 3, 2020",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
208,MicroDroper,Rank 1,Verification Level 4,"Aug 9, 2020",62,8,100% (8),0% (0),1,0% (0),0% (0),Available (can require)
209,MidnightExchange,Rank 0,,"Feb 5, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
210,MisterX,Rank 0,Verification Level 7,"Jul 7, 2020",13,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
211,MixedArbilyDE,Rank 4,Verification Level 3,"Oct 1, 2020",470,203,95.07% (193),3.45% (7),13,0% (0),53.85% (7),Not Available
